Year,Agency ,Country,Area,Category,Sector,Amount
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Macroeconomic Foundation for Growth,"800,000.00"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Private Sector Competitiveness,"18,006,899.48"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Trade and Investment,"4,101,239.75"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"37,178,623.51"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Higher Education,"17,042,809.50"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Services,"9,443,340.76"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"8,869,419.06"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,HIV/AIDS,"500,000.00"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"5,284,563.14"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"123,100.00"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Conflict Mitigation and Reconciliation,"79,246,316.81"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"199,653,491.01"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Transnational Crime,"385,000.00"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"3,397,368.35"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"5,255,156.04"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"203,423.01"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"1,711,241.25"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,HIV/AIDS,"161,210.01"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"11,346,307.66"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Tuberculosis,"1,331,358.36"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"182,197.06"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"1,311,529.24"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"6,526,900.87"
2010,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"135,807.84"
2010,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-151.47
2010,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"15,194.10"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"1,330,287.60"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Economic Opportunity,"1,384,997.37"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Financial Sector,"2,168,590.00"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"29,612,150.29"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Private Sector Competitiveness,"2,427,797.50"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Trade and Investment,"2,054,107.55"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"6,335,236.46"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Services,"10,011,722.00"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Environment,Natural Resources and Biodiversity,"3,071,177.37"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"6,837,472.15"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"5,912,407.58"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"594,800.31"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"5,136,988.73"
2010,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Civil Society,"19,384,065.04"
2010,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"318,686,850.16"
2010,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,"120,665,036.42"
2010,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"6,320,957.02"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"93,340,230.92"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Economic Opportunity,"20,189,318.52"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Financial Sector,"9,781,923.41"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"360,060,849.05"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Macroeconomic Foundation for Growth,"11,219,638.78"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Private Sector Competitiveness,"33,756,427.21"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Trade and Investment,"9,276,766.23"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"52,741,091.65"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Higher Education,"22,366,096.87"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Assistance,"8,131,803.71"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Services,"106,209,329.24"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Environment,Natural Resources and Biodiversity,"3,194,687.45"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"6,932,291.85"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"43,866,778.10"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"1,406,804.28"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Conflict Mitigation and Reconciliation,"110,415,588.93"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"240,482,769.54"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"19,943,051.76"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"8,583,886.09"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"2,608,576.99"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"16,766,200.59"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Health,HIV/AIDS,"838,789.99"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"27,844,278.09"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Health,Tuberculosis,"5,514,621.81"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"113,918.51"
2010,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"119,108.54"
2011,DoD,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Civil Society,"5,566,313.56"
2011,DoD,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"6,083,014.44"
2011,DoD,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"34,702,668.15"
2011,DoD,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"54,480,742.76"
2011,DoD,Afghanistan,Afghanistan & Pakistan,Economic Development,Macroeconomic Foundation for Growth,"6,873,749.46"
2011,DoD,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"16,800,922.64"
2011,DoD,Afghanistan,Afghanistan & Pakistan,Health,Other Public Health Threats,"7,487,035.14"
2011,DoD,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"13,798,164.00"
2011,DoD,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counterterrorism,"452,572.00"
2011,DoD,Afghanistan,Afghanistan & Pakistan,Peace and Security,Stabilization Operations and Security Sector Reform,"4,286,897,020.00"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Services, -   
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"1,057,485.59"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"281,118.29"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Other Public Health Threats, -   
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Tuberculosis, -   
2011,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Civil Society, -   
2011,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"97,820.16"
2011,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,"-37,565.05"
2011,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"103,829.29"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"838,855.13"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Economic Opportunity,"54,993.29"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Financial Sector, -   
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"13,161,035.48"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Private Sector Competitiveness,"44,434.16"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Trade and Investment,"195,218.51"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"4,720,536.73"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Services, -   
2011,USAID,Afghanistan,Afghanistan & Pakistan,Environment,Natural Resources and Biodiversity,"1,682,915.94"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"2,918,518.68"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"43,392.26"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"117,334.57"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"869,787.82"
2011,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Civil Society,"33,345,426.85"
2011,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"464,157,900.48"
2011,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,"69,824,775.81"
2011,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"28,841,465.09"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"171,495,494.18"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Economic Opportunity,"27,594,504.45"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Financial Sector,"18,637,460.16"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"331,064,190.81"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Macroeconomic Foundation for Growth,"6,364,071.54"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Private Sector Competitiveness,"39,767,753.90"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Trade and Investment,"26,377,070.02"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"75,332,023.93"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Higher Education,"24,036,510.79"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Assistance,"80,017,477.06"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Services,"21,852,824.25"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Environment,Natural Resources and Biodiversity,"4,846,962.65"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"8,435,277.37"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,HIV/AIDS, -   
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"18,546,202.66"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Other Public Health Threats,"2,000,000.00"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"18,849,299.29"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Conflict Mitigation and Reconciliation,"227,487,080.38"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"153,940,044.02"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Stabilization Operations and Security Sector Reform,"13,359,794.38"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Transnational Crime, -   
2011,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"20,681,192.34"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"10,154,224.03"
2011,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"6,250,560.00"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure, -   
2011,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics, -   
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"13,482,312.63"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,HIV/AIDS,"750,000.00"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"44,742,769.76"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Health,Tuberculosis,"4,742,114.03"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"114,761.60"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"5,784.14"
2011,USAID,Afghanistan,Afghanistan & Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions","47,201,000.00"
2012,DoD,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Civil Society,"1,147,639.00"
2012,DoD,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"454,000.00"
2012,DoD,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"9,206,478.00"
2012,DoD,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"64,550,030.00"
2012,DoD,Afghanistan,Afghanistan & Pakistan,Economic Development,Macroeconomic Foundation for Growth,"2,313,635.00"
2012,DoD,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"5,347,052.00"
2012,DoD,Afghanistan,Afghanistan & Pakistan,Health,Other Public Health Threats,"1,821,725.00"
2012,DoD,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"3,598,305.00"
2012,DoD,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counterterrorism,"443,572.00"
2012,DoD,Afghanistan,Afghanistan & Pakistan,Peace and Security,Stabilization Operations and Security Sector Reform,"1,601,132.00"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"29,439.44"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"10,111,697.72"
2012,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"4,370.36"
2012,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,"152,678.48"
2012,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"19,027.88"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"-131,317.17"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Economic Opportunity,"29,081.75"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"2,822,498.41"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Private Sector Competitiveness,"111,457.31"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Trade and Investment,"497,541.38"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"4,250,145.72"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Environment,Natural Resources and Biodiversity,"152,592.27"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"1,647,027.94"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"41,907.93"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"24,923.44"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"262,736.02"
2012,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Civil Society,"21,009,630.49"
2012,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"931,426,835.87"
2012,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,"37,840,402.18"
2012,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"37,130,062.81"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"65,257,034.87"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Economic Opportunity,"26,167,061.98"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Financial Sector,"8,231,841.46"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"253,074,824.36"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Macroeconomic Foundation for Growth,"5,710,037.46"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Private Sector Competitiveness,"43,493,849.64"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Trade and Investment,"23,613,683.41"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"34,636,820.60"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Higher Education,"21,766,375.77"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Assistance,"21,231,089.25"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Services,"17,195,437.69"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Environment,Natural Resources and Biodiversity,"1,233,301.04"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"13,885,576.19"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"30,733,446.31"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Health,Other Public Health Threats,"1,324,888.33"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"17,409,472.05"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Conflict Mitigation and Reconciliation,"73,006,346.86"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"96,351,758.38"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Stabilization Operations and Security Sector Reform,"11,228,723.90"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"66,546,935.54"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"10,775,306.51"
2012,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"967,604.80"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"18,704,523.83"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"34,471,730.53"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Health,Tuberculosis,"6,326.57"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"172,841.81"
2012,USAID,Afghanistan,Afghanistan & Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions","20,562,700.00"
2013,DoD,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Civil Society,"210,183.66"
2013,DoD,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"5,890,916.67"
2013,DoD,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"3,311,818.95"
2013,DoD,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"106,170,110.60"
2013,DoD,Afghanistan,Afghanistan & Pakistan,Economic Development,Macroeconomic Foundation for Growth,"627,900.96"
2013,DoD,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"3,579,114.43"
2013,DoD,Afghanistan,Afghanistan & Pakistan,Health,Other Public Health Threats,"541,782.74"
2013,DoD,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"18,629,086.05"
2013,DoD,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counterterrorism,"869,230.00"
2013,HHS,Afghanistan,Afghanistan & Pakistan,Health,Health - General,"399,898.80"
2013,HHS,Afghanistan,Afghanistan & Pakistan,Health,Other Public Health Threats,28
2013,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"199,398.42"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions","1,330,072.00"
2013,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"99,045.62"
2013,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"66,059.60"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"-6,979.00"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Economic Opportunity,"137,794.45"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"1,224,418.67"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Private Sector Competitiveness,"23,175.75"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Trade and Investment,"2,780.19"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"31,490.11"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Environment,Natural Resources and Biodiversity,"565,773.28"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions","-53,062.80"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"194,411.00"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Direct Administrative Costs,"45,603.01"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"287,512.15"
2013,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Civil Society,"28,718,539.97"
2013,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"144,952,658.13"
2013,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,"16,895,945.85"
2013,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"27,376,203.23"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"39,196,865.92"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Economic Opportunity,"23,042,824.58"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Financial Sector,"4,509,309.53"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"252,909,659.05"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Macroeconomic Foundation for Growth,"6,045,150.66"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Private Sector Competitiveness,"42,958,324.65"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Trade and Investment,"27,351,589.02"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"21,446,505.74"
2013,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Higher Education,"16,587,387.63"
